,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius,BanyakKotaRawan
0,Jakarta Pusat,Pagi,Hujan Ringan,65-95,22-31,2
1,Kepulauan Seribu,Malam,Hujan Ringan,65-95,22-31,0
2,Jakarta Timur,Malam,Hujan Ringan,65-95,22-31,23
3,Jakarta Barat,Malam,Hujan Ringan,65-95,22-31,17
4,Jakarta Selatan,Malam,Hujan Ringan,65-95,22-31,25
5,Jakarta Pusat,Malam,Hujan Ringan,65-95,22-31,2
6,Kepulauan Seribu,Siang,Hujan Petir,65-95,22-31,0
7,Jakarta Timur,Siang,Hujan Petir,65-95,22-31,23
8,Jakarta Barat,Siang,Hujan Petir,65-95,22-31,17
9,Jakarta Utara,Malam,Hujan Ringan,65-95,22-31,15
10,Jakarta Utara,Siang,Hujan Petir,65-95,22-31,15
11,Jakarta Pusat,Siang,Hujan Petir,65-95,22-31,2
12,Kepulauan Seribu,Pagi,Hujan Ringan,65-95,22-31,0
13,Jakarta Timur,Pagi,Hujan Ringan,65-95,22-31,23
14,Jakarta Barat,Pagi,Hujan Ringan,65-95,22-31,17
15,Jakarta Selatan,Pagi,Berawan,65-95,22-31,25
16,Jakarta Utara,Pagi,Berawan,65-95,22-31,15
17,Jakarta Selatan,Siang,Hujan Petir,65-95,22-31,25
18,Kepulauan Seribu,Siang,Hujan Ringan,60-95,21-34,0
19,Jakarta Pusat,Malam,Hujan Ringan,60-95,21-34,2
20,Jakarta Utara,Malam,Hujan Ringan,60-95,21-34,15
21,Kepulauan Seribu,Malam,Hujan Ringan,60-95,21-34,0
22,Jakarta Barat,Malam,Hujan Sedang,60-95,21-34,17
23,Jakarta Timur,Malam,Hujan Ringan,60-95,21-34,23
24,Jakarta Timur,Siang,Hujan Sedang,60-95,21-34,23
25,Jakarta Selatan,Malam,Hujan Ringan,60-95,21-34,25
26,Jakarta Barat,Siang,Hujan Sedang,60-95,21-34,17
27,Jakarta Barat,Pagi,Berawan,60-95,21-34,17
28,Jakarta Utara,Siang,Hujan Ringan,60-95,21-34,15
29,Jakarta Pusat,Siang,Hujan Ringan,60-95,21-34,2
30,Kepulauan Seribu,Pagi,Hujan Ringan,60-95,21-34,0
31,Jakarta Timur,Pagi,Berawan,60-95,21-34,23
32,Jakarta Selatan,Pagi,Berawan,60-95,21-34,25
33,Jakarta Utara,Pagi,Berawan,60-95,21-34,15
34,Jakarta Pusat,Pagi,Berawan,60-95,21-34,2
35,Jakarta Selatan,Siang,Hujan Sedang,60-95,21-34,25
36,Jakarta Timur,Siang,Hujan Ringan,60-95,22-31,23
37,Kepulauan Seribu,Malam,Berawan,60-95,22-31,0
38,Jakarta Timur,Malam,Berawan,60-95,22-31,23
39,Jakarta Barat,Malam,Berawan,60-95,22-31,17
40,Jakarta Selatan,Malam,Berawan,60-95,22-31,25
41,Jakarta Pusat,Malam,Berawan,60-95,22-31,2
42,Kepulauan Seribu,Siang,Berawan,60-95,22-31,0
43,Jakarta Barat,Siang,Berawan,60-95,22-31,17
44,Jakarta Utara,Malam,Berawan,60-95,22-31,15
45,Jakarta Utara,Siang,Berawan,60-95,22-31,15
46,Jakarta Utara,Pagi,Hujan Ringan,60-95,22-31,15
47,Jakarta Selatan,Pagi,Berawan Tebal,60-95,22-31,25
48,Jakarta Barat,Pagi,Berawan Tebal,60-95,22-31,17
49,Jakarta Pusat,Pagi,Berawan Tebal,60-95,22-31,2
50,Jakarta Timur,Pagi,Berawan Tebal,60-95,22-31,23
51,Kepulauan Seribu,Pagi,Hujan Ringan,60-95,22-31,0
52,Jakarta Pusat,Siang,Berawan,60-95,22-31,2
53,Jakarta Selatan,Siang,Hujan Ringan,60-95,22-31,25
54,Jakarta Timur,Siang,Hujan Sedang,70-95,21-33,23
55,Jakarta Timur,Malam,Hujan Ringan,70-95,21-33,23
56,Jakarta Barat,Malam,Hujan Sedang,70-95,21-33,17
57,Jakarta Selatan,Malam,Hujan Ringan,70-95,21-33,25
58,Jakarta Utara,Malam,Hujan Ringan,70-95,21-33,15
59,Jakarta Pusat,Malam,Hujan Ringan,70-95,21-33,2
60,Kepulauan Seribu,Siang,Hujan Ringan,70-95,21-33,0
61,Jakarta Barat,Siang,Hujan Sedang,70-95,21-33,17
62,Kepulauan Seribu,Malam,Hujan Ringan,70-95,21-33,0
63,Jakarta Utara,Siang,Hujan Ringan,70-95,21-33,15
64,Jakarta Pusat,Pagi,Berawan,70-95,21-33,2
65,Jakarta Utara,Pagi,Berawan,70-95,21-33,15
66,Jakarta Selatan,Pagi,Berawan,70-95,21-33,25
67,Jakarta Selatan,Siang,Hujan Sedang,70-95,21-33,25
68,Jakarta Timur,Pagi,Berawan,70-95,21-33,23
